Cruise #,Month,Year,Station Code,Study Type,GoodHaul,Day,Repeat,Nonconsecutive Repeat,MMED,Liner Mesh (cm),Extension,Sample Date,Start_Time,Stn_Depth_m,nmi_From_Shore,Mid_Lat,Mid_Long,Trawl_Dist_km,California market squid__,Chinook salmon_yearling_Interior_Sp,Sablefish__,Sea nettle__,Water jelly__
1,June,1998,061698CR07A,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/16/1998,18:30,76.8096,7,46.09141541,-124.1398621,2.119169,2.359415416,0,0,0,0
1,June,1998,061698CR07B,Regular,TRUE,TRUE,TRUE,FALSE,No,0.8,No,6/16/1998,20:35,54.864,7,46.14091492,-124.1618347,1.623121,0.61609705,0,0,0,0
1,June,1998,061798CR02,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/17/1998,13:28,18.288,2,46.13366699,-124.0266647,2.97538,0,0.336091558,0,0,0
1,June,1998,061798CR05,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/17/1998,15:34,40.2336,5,46.10924911,-124.0723267,3.154185,0,0.634078301,0,0,0
1,June,1998,061798CR10,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/17/1998,19:31,85.9536,10,46.12075043,-124.1960831,4.277705,1.168851132,0,0,0,0
1,June,1998,061798CR15,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/17/1998,21:15,109.728,15,46.12599945,-124.2957458,3.119021,4.809200708,0,0,0,0
1,June,1998,061898GH10,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/18/1998,16:58,54.864,10,46.97266769,-124.3822479,2.657162,0,0,0,0,0
1,June,1998,061898GH16,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/18/1998,18:50,84.1248,16,46.96624756,-124.5379181,4.148438,0,0,0,0,0
1,June,1998,061898GH21,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/18/1998,21:15,109.728,21,46.95024872,-124.6611633,3.655233,20.79210601,0,0,0,0
1,June,1998,061998GH26,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/19/1998,6:00,162.7632,26,46.98441315,-124.8181686,3.683146,0,0,0,0,0
1,June,1998,061998WB30,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/19/1998,9:13,292.608,30,46.63175201,-124.7682495,3.902892,0,0,0,0,0
1,June,1998,061998WB19,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/19/1998,12:20,111.5568,19,46.63600159,-124.4861679,3.329971,24.02423098,0,0,0,0
1,June,1998,061998WB14,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/19/1998,14:07,82.296,14,46.62233353,-124.3789978,3.734178,0.267796532,0,0,0,0
1,June,1998,061998WB09,Regular,TRUE,TRUE,FALSE,FALSE,No,0.8,No,6/19/1998,16:17,54.864,9,46.61133194,-124.2601624,3.006038,0,0,0,0,0
